"What is this Table?
This table lists the Housing Preservation Departments (HPD) unique Complaint types, complaint details and the location types present in the 311 Data on the Open Data Portal.
This HPD table is separated from other agency complaint details because HPD complaints correlate to feild that indicates which Buidling Management Program (BMP) the complaint type is associated with.

How you can use this table
• You can use this table to help you identify new types of complaints that are captured by 311.
• Use this table to get a sense of what services a Agency is responsible for.

Notes:
• ""BMP"" - Building Management Program.
•  ""DPM"", ""DAMP"" - Building Types managed by HPD under BMP programs. This information is used by 311 to determine the types of complaints applicable to a particular address.
• ""Sec8"" - Section 8 housing, managed by HPD under BMP program.
• ""PVT"" - Privately-Owned buildings; complaints are accepted even though they are not managed by HPD.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Agency,Complaint Type,Descriptor,BMP,Public View,Additional_Details,Location_Type,Location_Details
Department of Housing Preservation and Development,Door/Window,Window Frame,DAMP,Yes,Loose or Defective,Apartment,Bathroom
Department of Housing Preservation and Development,Door/Window,Window Frame,DAMP,Yes,Loose or Defective,Apartment,Kitchen
Department of Housing Preservation and Development,Door/Window,Window Frame,DAMP,Yes,Loose or Defective,Apartment,Living Room
Department of Housing Preservation and Development,Door/Window,Window Frame,DAMP,Yes,Loose or Defective,Apartment,Entire Apartment
Department of Housing Preservation and Development,Door/Window,Window Frame,DAMP,Yes,Window Stuck Closed or Open,Apartment,Entire Apartment
Department of Housing Preservation and Development,Door/Window,Window Frame,DAMP,Yes,Window Stuck Closed or Open,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Door/Window,Window Frame,DAMP,Yes,Window Stuck Closed or Open,Apartment,Living Room
Department of Housing Preservation and Development,Door/Window,Window Frame,DAMP,Yes,Window Stuck Closed or Open,Apartment,Kitchen
Department of Housing Preservation and Development,Door/Window,Window Frame,DAMP,Yes,Window Stuck Closed or Open,Apartment,Bedroom
Department of Housing Preservation and Development,Door/Window,Window Frame,DAMP,Yes,Window Stuck Closed or Open,Apartment,Bathroom
Department of Housing Preservation and Development,Door/Window,Window Frame,DAMP,Yes,Window Stuck Closed or Open,Apartment,Private Hall
Department of Housing Preservation and Development,Door/Window,Window Frame,DAMP,Yes,Window Stuck Closed or Open,Apartment,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Window Pane,DAMP,Yes,Glass Broken or Missing,Apartment,Other Room/Area
Department of Housing Preservation and Development,Door/Window,Window Pane,DAMP,Yes,Glass Broken or Missing,Apartment,Private Hall
Department of Housing Preservation and Development,Door/Window,Window Pane,DAMP,Yes,Glass Broken or Missing,Apartment,Bedroom
Department of Housing Preservation and Development,Door/Window,Window Pane,DAMP,Yes,Glass Broken or Missing,Apartment,Bathroom
Department of Housing Preservation and Development,Door/Window,Window Pane,DAMP,Yes,Glass Broken or Missing,Apartment,Entire Apartment
Department of Housing Preservation and Development,Door/Window,Window Pane,DAMP,Yes,Glass Broken or Missing,Apartment,Kitchen
Department of Housing Preservation and Development,Door/Window,Window Pane,DAMP,Yes,Glass Broken or Missing,Apartment,Living Room
Department of Housing Preservation and Development,Door/Window,Window Pane,DAMP,Yes,Glass Broken or Missing,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Dims or Flickers,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Dims or Flickers,Apartment,Kitchen
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Dims or Flickers,Apartment,Living Room
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Dims or Flickers,Apartment,Entire Apartment
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Dims or Flickers,Apartment,Bathroom
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Dims or Flickers,Apartment,Bedroom
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Dims or Flickers,Apartment,Private Hall
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Dims or Flickers,Apartment,Other Room/Area
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Missing/Hanging/Loose,Apartment,Other Room/Area
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Missing/Hanging/Loose,Apartment,Private Hall
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Missing/Hanging/Loose,Apartment,Bedroom
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Missing/Hanging/Loose,Apartment,Bathroom
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Missing/Hanging/Loose,Apartment,Entire Apartment
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Missing/Hanging/Loose,Apartment,Living Room
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Missing/Hanging/Loose,Apartment,Kitchen
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Missing/Hanging/Loose,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Sparks When Turned On,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Sparks When Turned On,Apartment,Living Room
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Sparks When Turned On,Apartment,Kitchen
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Sparks When Turned On,Apartment,Entire Apartment
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Sparks When Turned On,Apartment,Bathroom
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Sparks When Turned On,Apartment,Bedroom
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Sparks When Turned On,Apartment,Private Hall
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Sparks When Turned On,Apartment,Other Room/Area
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Wet or Flooded,Apartment,Other Room/Area
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Wet or Flooded,Apartment,Private Hall
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Wet or Flooded,Apartment,Bedroom
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Wet or Flooded,Apartment,Bathroom
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Wet or Flooded,Apartment,Entire Apartment
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Wet or Flooded,Apartment,Living Room
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Wet or Flooded,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Electric,Lighting,DAMP,Yes,Fixture Wet or Flooded,Apartment,Kitchen
Department of Housing Preservation and Development,Electric,No Lighting,DAMP,Yes,One Room or Area,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Electric,No Lighting,DAMP,Yes,One Room or Area,Apartment,Entire Apartment
Department of Housing Preservation and Development,Electric,No Lighting,DAMP,Yes,One Room or Area,Apartment,Living Room
Department of Housing Preservation and Development,Electric,No Lighting,DAMP,Yes,One Room or Area,Apartment,Kitchen
Department of Housing Preservation and Development,Electric,No Lighting,DAMP,Yes,One Room or Area,Apartment,Bedroom
Department of Housing Preservation and Development,Electric,No Lighting,DAMP,Yes,One Room or Area,Apartment,Bathroom
Department of Housing Preservation and Development,Electric,No Lighting,DAMP,Yes,One Room or Area,Apartment,Private Hall
Department of Housing Preservation and Development,Electric,No Lighting,DAMP,Yes,One Room or Area,Apartment,Other Room/Area
Department of Housing Preservation and Development,Electric,Outlet/Switch,DAMP,Yes,Outlet Sealed or Defective,Apartment,Other Room/Area
Department of Housing Preservation and Development,Electric,Outlet/Switch,DAMP,Yes,Outlet Sealed or Defective,Apartment,Private Hall
Department of Housing Preservation and Development,Electric,Outlet/Switch,DAMP,Yes,Outlet Sealed or Defective,Apartment,Bathroom
Department of Housing Preservation and Development,Electric,Outlet/Switch,DAMP,Yes,Outlet Sealed or Defective,Apartment,Bedroom
Department of Housing Preservation and Development,Electric,Outlet/Switch,DAMP,Yes,Outlet Sealed or Defective,Apartment,Kitchen
Department of Housing Preservation and Development,Electric,Outlet/Switch,DAMP,Yes,Outlet Sealed or Defective,Apartment,Living Room
Department of Housing Preservation and Development,Electric,Outlet/Switch,DAMP,Yes,Outlet Sealed or Defective,Apartment,Entire Apartment
Department of Housing Preservation and Development,Electric,Outlet/Switch,DAMP,Yes,Outlet Sealed or Defective,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Electric,Power Outage,DAMP,Yes,Entire Apartment,Apartment,Entire Apartment
Department of Housing Preservation and Development,Electric,Power Outage,DAMP,Yes,Multiple Rooms or Areas,Apartment,Entire Apartment
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Exposed,Apartment,Entire Apartment
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Exposed,Apartment,Bedroom
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Exposed,Apartment,Bathroom
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Exposed,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Exposed,Apartment,Kitchen
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Exposed,Apartment,Living Room
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Exposed,Apartment,Private Hall
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Exposed,Apartment,Other Room/Area
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Fuse Blows Out,Apartment,Other Room/Area
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Fuse Blows Out,Apartment,Private Hall
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Fuse Blows Out,Apartment,Living Room
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Fuse Blows Out,Apartment,Kitchen
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Fuse Blows Out,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Fuse Blows Out,Apartment,Bathroom
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Fuse Blows Out,Apartment,Bedroom
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Fuse Blows Out,Apartment,Entire Apartment
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Illegal,Apartment,Entire Apartment
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Illegal,Apartment,Bedroom
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Illegal,Apartment,Bathroom
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Illegal,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Illegal,Apartment,Kitchen
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Illegal,Apartment,Living Room
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Illegal,Apartment,Private Hall
Department of Housing Preservation and Development,Electric,Wiring,DAMP,Yes,Illegal,Apartment,Other Room/Area
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Dims or Flickers,Apartment,Private Hall
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Dims or Flickers,Apartment,Other Room/Area
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Dims or Flickers,Apartment,Entire Apartment
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Dims or Flickers,Apartment,Bedroom
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Dims or Flickers,Apartment,Bathroom
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Dims or Flickers,Apartment,Living Room
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Dims or Flickers,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Dims or Flickers,Apartment,Kitchen
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Missing/Hanging/Loose,Apartment,Kitchen
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Missing/Hanging/Loose,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Missing/Hanging/Loose,Apartment,Living Room
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Missing/Hanging/Loose,Apartment,Bathroom
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Missing/Hanging/Loose,Apartment,Bedroom
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Missing/Hanging/Loose,Apartment,Entire Apartment
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Missing/Hanging/Loose,Apartment,Other Room/Area
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Missing/Hanging/Loose,Apartment,Private Hall
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Sparks When Turned On,Apartment,Private Hall
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Sparks When Turned On,Apartment,Other Room/Area
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Sparks When Turned On,Apartment,Entire Apartment
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Sparks When Turned On,Apartment,Bedroom
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Sparks When Turned On,Apartment,Bathroom
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Sparks When Turned On,Apartment,Living Room
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Sparks When Turned On,Apartment,Entrance/Foyer
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Sparks When Turned On,Apartment,Kitchen
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Wet or Flooded,Apartment,Kitchen
Department of Housing Preservation and Development,Electric,Lighting,DPM,Yes,Fixture Wet or Flooded,Apartment,Entrance/Foyer
